I_img.jpg,X,Y,Z,roll,pitch,yaw
I_179000078_0020_01_0025_P00_01.jpg.jpg,126851.498,486711.5896,378.0026,0.6565,-42.0434,90.6025
I_179000079_0020_01_0024_P00_01.jpg.jpg,126852.3208,486862.5471,378.5153,0.7029,-42.0578,90.5767
I_179000080_0020_01_0023_P00_01.jpg.jpg,126853.7446,487013.5337,377.9307,0.538,-42.0418,90.4308
I_179000081_0020_01_0022_P00_01.jpg.jpg,126855.916,487164.4924,378.5893,0.6021,-42.0182,90.4794
I_179000082_0020_01_0021_P00_01.jpg.jpg,126856.9586,487315.6328,376.6684,0.5901,-41.9577,90.4686
I_179000083_0020_01_0020_P00_01.jpg.jpg,126855.3199,487466.6173,375.323,0.6411,-42.03,90.5644
I_179000084_0020_01_0019_P00_01.jpg.jpg,126854.3194,487617.6346,373.3927,0.5504,-41.9461,90.4636
I_179000085_0020_01_0018_P00_01.jpg.jpg,126854.0546,487768.6555,369.1074,0.5983,-41.986,90.5046
I_179000086_0020_01_0017_P00_01.jpg.jpg,126853.3875,487919.6445,365.0488,0.6275,-41.9889,90.5281
I_179000087_0020_01_0016_P00_01.jpg.jpg,126853.3324,488070.789,361.3871,0.6561,-41.9584,90.5983
I_179000088_0020_01_0015_P00_01.jpg.jpg,126851.273,488221.7034,359.1621,0.4186,-42.0937,90.3435
I_179000089_0020_01_0014_P00_01.jpg.jpg,126850.3624,488372.7235,358.0403,0.5298,-42.0238,90.3185
I_179000090_0020_01_0013_P00_01.jpg.jpg,126851.4046,488523.6785,363.0772,0.5374,-42.0274,90.5276
I_179000091_0020_01_0012_P00_01.jpg.jpg,126853.9114,488674.7376,372.0255,0.5879,-41.9583,90.5403
I_179000092_0020_01_0011_P00_01.jpg.jpg,126853.37,488825.8032,378.2078,0.556,-41.9456,90.5223
I_179000093_0020_01_0010_P00_01.jpg.jpg,126849.1999,488976.797,379.7529,0.4367,-42.0014,90.29
I_179000094_0020_01_0009_P00_01.jpg.jpg,126849.0118,489127.8021,378.5055,0.5824,-41.8861,90.5143
I_179000095_0020_01_0008_P00_01.jpg.jpg,126849.0814,489278.8427,375.9856,0.5231,-42.0014,90.4463
I_179000096_0020_01_0007_P00_01.jpg.jpg,126847.0443,489429.887,375.1877,0.4447,-42.0015,90.3446
I_179000097_0020_01_0006_P00_01.jpg.jpg,126847.2181,489580.9614,373.5015,0.6438,-41.9473,90.5668
I_179000098_0020_01_0005_P00_01.jpg.jpg,126846.4957,489731.9969,372.1068,0.5223,-42.043,90.4139
I_179000099_0020_01_0004_P00_01.jpg.jpg,126846.1737,489882.933,373.0061,0.5545,-41.9983,90.4675
I_179000100_0020_01_0003_P00_01.jpg.jpg,126846.82,490033.9706,374.5068,0.6116,-41.982,90.5456
I_179000101_0020_01_0002_P00_01.jpg.jpg,126847.9281,490185.0333,374.7302,0.668,-41.9779,90.6479
I_179000102_0020_01_0001_P00_01.jpg.jpg,126846.2405,490336.0677,374.3779,0.5586,-42.0014,90.4923
I_179000104_0019_01_0001_P00_01.jpg.jpg,126632.0439,490611.3464,363.9171,-0.565,42.0595,-89.4542
I_179000105_0019_01_0002_P00_01.jpg.jpg,126632.7887,490460.4703,365.8475,-0.5342,42.0096,-89.5033
I_179000106_0019_01_0003_P00_01.jpg.jpg,126634.0197,490309.3716,364.8326,-0.4812,41.932,-89.6357
I_179000107_0019_01_0004_P00_01.jpg.jpg,126632.3966,490158.297,363.3779,-0.5241,42.0475,-89.4822
I_179000108_0019_01_0005_P00_01.jpg.jpg,126630.7548,490007.2808,362.6539,-0.6366,41.947,-89.5826
I_179000109_0019_01_0006_P00_01.jpg.jpg,126632.034,489856.2528,361.1864,-0.4317,41.9555,-89.7265
I_179000110_0019_01_0007_P00_01.jpg.jpg,126633.6556,489705.2582,360.8754,-0.5138,41.9707,-89.6509
I_179000111_0019_01_0008_P00_01.jpg.jpg,126634.9853,489554.2211,361.5879,-0.6945,42.0259,-89.3276
I_179000112_0019_01_0009_P00_01.jpg.jpg,126636.0244,489403.2349,362.672,-0.659,42.0386,-89.4111
I_179000113_0019_01_0010_P00_01.jpg.jpg,126635.0654,489252.1699,362.593,-0.629,41.9765,-89.4463
I_179000114_0019_01_0011_P00_01.jpg.jpg,126635.1353,489101.1973,360.4766,-0.5894,41.9838,-89.4774
